readout_class	cell_type	detail	n_per_arm	residual_df	cohens_d	observed_sd	sd_scale	mde	mde_scale	n_samples
program_score	Mast cells	Angiogenesis	4	6	2.38075958933969	0.00676593881268748	ucell_score	0.0161080737091913	ucell_score_delta	12
program_score	Mast cells	DNA_Damage_Repair	4	6	2.38075958933969	0.00602644397610591	ucell_score	0.0143475142857326	ucell_score_delta	12
program_score	Mast cells	Fibrosis_remodeling	4	6	2.38075958933969	0.00807347146973471	ucell_score	0.0192209946208313	ucell_score_delta	12
program_score	Mast cells	Hypoxia	4	6	2.38075958933969	0.0155461202622074	ucell_score	0.0370115748912784	ucell_score_delta	12
program_score	Mast cells	STING	4	6	2.38075958933969	0.0133765019409908	ucell_score	0.031846235267835	ucell_score_delta	12
program_score	Mast cells	Stromal_stress_senescence	4	6	2.38075958933969	0.00294420032761411	ucell_score	0.00700943316290435	ucell_score_delta	12
program_score	Mast cells	TypeII_interferon	4	6	2.38075958933969	0.0362390836627118	ucell_score	0.0862765459388845	ucell_score_delta	12
program_score	Mast cells	TypeI_interferon	4	6	2.38075958933969	0.0192076709511276	ucell_score	0.0457288468057786	ucell_score_delta	12
program_score	NK cells	Angiogenesis	4	6	2.38075958933969	0.00691908924896866	ucell_score	0.0164726880789793	ucell_score_delta	12
program_score	NK cells	DNA_Damage_Repair	4	6	2.38075958933969	0.00698046947895567	ucell_score	0.0166188196501168	ucell_score_delta	12
program_score	NK cells	Fibrosis_remodeling	4	6	2.38075958933969	0.0126079772036021	ucell_score	0.030016562629652	ucell_score_delta	12
program_score	NK cells	Hypoxia	4	6	2.38075958933969	0.0303579204483331	ucell_score	0.0722749102197807	ucell_score_delta	12
program_score	NK cells	STING	4	6	2.38075958933969	0.0172125573222227	ucell_score	0.0409789609019408	ucell_score_delta	12
program_score	NK cells	Stromal_stress_senescence	4	6	2.38075958933969	0.00468981439688457	ucell_score	0.0111653205976063	ucell_score_delta	12
program_score	NK cells	TypeII_interferon	4	6	2.38075958933969	0.0410783795754658	ucell_score	0.097797746088826	ucell_score_delta	12
program_score	NK cells	TypeI_interferon	4	6	2.38075958933969	0.0199488290930138	ucell_score	0.0474933661592913	ucell_score_delta	12
program_score	Neutrophils	Angiogenesis	4	6	2.38075958933969	0.00598723287150117	ucell_score	0.0142541620724363	ucell_score_delta	12
program_score	Neutrophils	DNA_Damage_Repair	4	6	2.38075958933969	0.0204031008774293	ucell_score	0.048574878066205	ucell_score_delta	12
program_score	Neutrophils	Fibrosis_remodeling	4	6	2.38075958933969	0.0160400489979426	ucell_score	0.0381875004653304	ucell_score_delta	12
program_score	Neutrophils	Hypoxia	4	6	2.38075958933969	0.0448448995812422	ucell_score	0.106764924711018	ucell_score_delta	12
program_score	Neutrophils	STING	4	6	2.38075958933969	0.0124174515718583	ucell_score	0.0295629669048628	ucell_score_delta	12
program_score	Neutrophils	Stromal_stress_senescence	4	6	2.38075958933969	0.00818190693836027	ucell_score	0.0194791534025862	ucell_score_delta	12
program_score	Neutrophils	TypeII_interferon	4	6	2.38075958933969	0.0352400708260447	ucell_score	0.0838981365481158	ucell_score_delta	12
program_score	Neutrophils	TypeI_interferon	4	6	2.38075958933969	0.0175137375395	ucell_score	0.0416959985923432	ucell_score_delta	12
program_score	Plasma cells	Angiogenesis	4	6	2.38075958933969	0.00697777012851705	ucell_score	0.016612393145675	ucell_score_delta	12
program_score	Plasma cells	DNA_Damage_Repair	4	6	2.38075958933969	0.0148382398585251	ucell_score	0.035326281832106	ucell_score_delta	12
program_score	Plasma cells	Fibrosis_remodeling	4	6	2.38075958933969	0.00646944689799877	ucell_score	0.0154021977401345	ucell_score_delta	12
program_score	Plasma cells	Hypoxia	4	6	2.38075958933969	0.0161597645406042	ucell_score	0.0384725143915149	ucell_score_delta	12
program_score	Plasma cells	STING	4	6	2.38075958933969	0.0158829196693534	ucell_score	0.0378134133095252	ucell_score_delta	12
program_score	Plasma cells	Stromal_stress_senescence	4	6	2.38075958933969	0.0142466530294096	ucell_score	0.0339178558157624	ucell_score_delta	12
program_score	Plasma cells	TypeII_interferon	4	6	2.38075958933969	0.0284908807581079	ucell_score	0.0678299375735992	ucell_score_delta	12
program_score	Plasma cells	TypeI_interferon	4	6	2.38075958933969	0.0133252598132796	ucell_score	0.0317242400809082	ucell_score_delta	12
program_score	SmoothMuscle	Angiogenesis	4	6	2.38075958933969	0.00114956730322535	ucell_score	0.00273684338074512	ucell_score_delta	12
program_score	SmoothMuscle	DNA_Damage_Repair	4	6	2.38075958933969	0.00269134208661793	ucell_score	0.00640743848090914	ucell_score_delta	12
program_score	SmoothMuscle	Fibrosis_remodeling	4	6	2.38075958933969	0.00526709765771276	ucell_score	0.0125396932565883	ucell_score_delta	12
program_score	SmoothMuscle	Hypoxia	4	6	2.38075958933969	0.0167915495101479	ucell_score	0.0399766425161568	ucell_score_delta	12
program_score	SmoothMuscle	STING	4	6	2.38075958933969	0.00295784722272949	ucell_score	0.00704192313931501	ucell_score_delta	12
program_score	SmoothMuscle	Stromal_stress_senescence	4	6	2.38075958933969	0.0022919006381774	ucell_score	0.00545646442215461	ucell_score_delta	12
program_score	SmoothMuscle	TypeII_interferon	4	6	2.38075958933969	0.0121920795749622	ucell_score	0.0290264103620838	ucell_score_delta	12
program_score	SmoothMuscle	TypeI_interferon	4	6	2.38075958933969	0.00282228367295899	ucell_score	0.00671917891823397	ucell_score_delta	12
program_score	T cells	Angiogenesis	4	6	2.38075958933969	0.00174709054792547	ucell_score	0.0041594025754183	ucell_score_delta	12
program_score	T cells	DNA_Damage_Repair	4	6	2.38075958933969	0.00541575860267457	ucell_score	0.0128936192268664	ucell_score_delta	12
program_score	T cells	Fibrosis_remodeling	4	6	2.38075958933969	0.00463293885910944	ucell_score	0.0110299136156493	ucell_score_delta	12
program_score	T cells	Hypoxia	4	6	2.38075958933969	0.00597008343268038	ucell_score	0.0142133333815119	ucell_score_delta	12
program_score	T cells	STING	4	6	2.38075958933969	0.00451543810338577	ucell_score	0.0107501725647055	ucell_score_delta	12
program_score	T cells	Stromal_stress_senescence	4	6	2.38075958933969	0.00457464565071538	ucell_score	0.0108911315007718	ucell_score_delta	12
program_score	T cells	TypeII_interferon	4	6	2.38075958933969	0.018339814590659	ucell_score	0.0436626894534234	ucell_score_delta	12
program_score	T cells	TypeI_interferon	4	6	2.38075958933969	0.00542532302793975	ucell_score	0.012916389824033	ucell_score_delta	12
program_score	Tumor	Angiogenesis	4	6	2.38075958933969	0.00391889871017104	ucell_score	0.00932995568389066	ucell_score_delta	12
program_score	Tumor	DNA_Damage_Repair	4	6	2.38075958933969	0.00434133094397846	ucell_score	0.0103356652753739	ucell_score_delta	12
program_score	Tumor	Fibrosis_remodeling	4	6	2.38075958933969	0.00859152611809326	ucell_score	0.020454358192713	ucell_score_delta	12
program_score	Tumor	Hypoxia	4	6	2.38075958933969	0.0156340252390726	ucell_score	0.037220855507901	ucell_score_delta	12
program_score	Tumor	STING	4	6	2.38075958933969	0.0137607265286333	ucell_score	0.0327609816393249	ucell_score_delta	12
program_score	Tumor	Stromal_stress_senescence	4	6	2.38075958933969	0.00430670731479484	ucell_score	0.0102532347381772	ucell_score_delta	12
program_score	Tumor	TypeII_interferon	4	6	2.38075958933969	0.0489650606040684	ucell_score	0.116574037575735	ucell_score_delta	12
program_score	Tumor	TypeI_interferon	4	6	2.38075958933969	0.0232934936156687	ucell_score	0.0554562082947262	ucell_score_delta	12
pseudobulk_DE	Adipocyte	median_dispersion=0.0718; BCV=0.268	4	6	2.38075958933969	0.386580660622617	log2_expression	0.920355614830569	log2_fold_change	12
pseudobulk_DE	DC	median_dispersion=0.1598; BCV=0.400	4	6	2.38075958933969	0.576763840844503	log2_expression	1.37313604487494	log2_fold_change	12
pseudobulk_DE	Endothelial	median_dispersion=0.0552; BCV=0.235	4	6	2.38075958933969	0.339013931046357	log2_expression	0.80711066725836	log2_fold_change	12
pseudobulk_DE	Epithelial cells	median_dispersion=0.5510; BCV=0.742	4	6	2.38075958933969	1.07094565893805	log2_expression	2.54966414717848	log2_fold_change	10
pseudobulk_DE	Fibroblast	median_dispersion=0.0240; BCV=0.155	4	6	2.38075958933969	0.223576434709596	log2_expression	0.532281740885252	log2_fold_change	12
pseudobulk_DE	ILC	median_dispersion=0.0557; BCV=0.236	4	6	2.38075958933969	0.340406124807013	log2_expression	0.81042514590426	log2_fold_change	12
pseudobulk_DE	Macrophages	median_dispersion=0.0299; BCV=0.173	4	6	2.38075958933969	0.249257947297275	log2_expression	0.593423248247115	log2_fold_change	12
pseudobulk_DE	Mast cells	median_dispersion=0.1329; BCV=0.365	4	6	2.38075958933969	0.525926009776515	log2_expression	1.2521033910586	log2_fold_change	12
pseudobulk_DE	NK cells	median_dispersion=0.1105; BCV=0.332	4	6	2.38075958933969	0.479600564221668	log2_expression	1.14181364232346	log2_fold_change	12
pseudobulk_DE	Plasma cells	median_dispersion=0.1600; BCV=0.400	4	6	2.38075958933969	0.577096470656291	log2_expression	1.37392795648906	log2_fold_change	11
pseudobulk_DE	SmoothMuscle	median_dispersion=0.0785; BCV=0.280	4	6	2.38075958933969	0.404091372952447	log2_expression	0.962044411125982	log2_fold_change	12
pseudobulk_DE	T cells	median_dispersion=0.1404; BCV=0.375	4	6	2.38075958933969	0.540616385338421	log2_expression	1.28707764354861	log2_fold_change	12
pseudobulk_DE	Tumor	median_dispersion=0.0267; BCV=0.163	4	6	2.38075958933969	0.235694036786962	log2_expression	0.561130838230743	log2_fold_change	12
pseudobulk_DE	unassigned	median_dispersion=0.0325; BCV=0.180	4	6	2.38075958933969	0.259991361595079	log2_expression	0.618976927262969	log2_fold_change	12
